task_id,task_title,family,difficulty,tool_calls,num_deliverables,verifier_no,check,type,pass_condition,feeds_capability,weight
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,1,All 10 deliverables are present in the delivery set.,auto,"All 10 exist: hero_warm_graded.jpg, hero_color_splash.jpg, hero_subject_pop.jpg, lunch_plate_cutout.png, hero_1x1_feed.jpg, hero_4x5_feed.jpg, hero_9x16_story.jpg, backdrop_texture_fullres.jpg, logo_vector.svg, and the ElVecino_MetaAd_AssetPack/ folder; any missing item fails.",K1 Instruction adherence,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,2,The three Meta ad ratios are at the exact required pixel sizes.,auto,"hero_1x1_feed.jpg = 1080x1080, hero_4x5_feed.jpg = 1080x1350, hero_9x16_story.jpg = 1080x1920; any wrong size fails.",K1 Instruction adherence,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,3,The three ratios are built by reframe-cropping the graded hero (no outpainting / no invented pixels).,expert,Each ratio is a crop/resize of the graded hero with the food kept in frame and no generative scene extension; any invented/outpainted pixels fail.,K1 Instruction adherence,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,4,The hero taco platter is straightened (its ~4-degree handheld tilt corrected).,expert,The hero reads level versus the tilted source frame; noticeable residual tilt fails.,K3 Compositional craft,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,5,"The hero carries a warm, bold, appetizing grade (not the dull raw look, not over-saturated).",expert,hero_warm_graded.jpg is warmer/bolder than the raw photo with salsa reds & lime greens popping and highlight detail held; a flat/dull or blown-out over-saturated result fails.,K4 Creative quality,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,6,The color-splash variant keeps the food in full colour while the rest of the frame is desaturated.,expert,hero_color_splash.jpg shows the dish in colour against a desaturated background (clean scroll-stop effect); colour bleeding into the background or a fully-colour/fully-grey frame fails.,K3 Compositional craft,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,7,"The subject-pop variant is a distinct, higher-contrast scroll-stop treatment.",expert,"hero_subject_pop.jpg is visibly a different, punchier high-contrast treatment of the graded hero (food made to stand forward); a near-identical copy of the plain graded hero fails.",K4 Creative quality,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,8,"The lunch-plate cut-out is a transparent PNG with clean, layout-ready edges.",expert,"lunch_plate_cutout.png has true alpha transparency and a clean edge around the dish (no leftover background, no hard box edge or halo); an opaque or ragged cut-out fails.",K3 Compositional craft,dealbreaker
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,9,The logo is delivered as a clean SVG faithful to the supplied mark (form and colours preserved).,expert,"logo_vector.svg is a valid vector that reproduces the supplied El Vecino Cocina logo at correct proportions and colours; a re-typed, recoloured, distorted, or raster-only logo fails.",K2 Asset utilization & fidelity,dealbreaker
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,10,The backdrop texture is a properly licensed full-res Adobe Stock asset matching the brief.,expert,"backdrop_texture_fullres.jpg is a licensed full-resolution warm woven-textile / rustic-wood stock texture as briefed; a low-res, unlicensed, or off-brief texture fails.",K2 Asset utilization & fidelity,mandatory
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant",Photo & Image,T3_complex,19,10,11,No generative or out-of-scope editing was used.,expert,"No generative fill/expand/outpaint, no text-to-image, no AI object-removal-with-reconstruction, no upscaling; ratios are crop-reframes, the cut-out is a real background removal, the logo is vectorized (not redrawn). Any generative artifact fails.",K7 Honesty & calibration,dealbreaker
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,1,"All 12 deliverables are present (6 transparent PNGs + 6 white-bg JPEGs, one pair per SKU).",auto,A transparent PNG AND a 3000x3000 white-bg JPEG exist for each of sku01–sku06 (12 files); any missing file fails.,K1 Instruction adherence,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,2,Each white-background JPEG is exactly 3000x3000 px.,auto,The 6 white-bg JPEGs each measure exactly 3000x3000 px; any other dimension fails.,K1 Instruction adherence,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,3,Transparent PNGs have real alpha transparency (background actually removed).,auto,Each isolated PNG has an alpha channel with the area around the piece fully transparent; a flattened/opaque PNG or one still carrying the backdrop fails.,K1 Instruction adherence,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,4,The white background is pure #FFFFFF with no shadow and no leftover clutter.,auto,"On each white-bg JPEG, pixels sampled off the piece read #FFFFFF (255,255,255) with no cast shadow, grey sweep, or prop visible; any off-white, shadow, or clutter fails. (Hard brand constraint.)",K1 Instruction adherence,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,5,"Clean isolation edges — no halo/fringe, and nothing chopped (bail, prongs, clasp, thin links intact).",expert,Every piece has a clean cut edge with no halo/matte fringe/jaggies AND no missing/clipped parts; haloing or an eaten prong/clasp/link fails.,K3 Compositional craft,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,6,"Fine open detail is preserved: filigree gaps, chain-link gaps and prong gaps are cut through to the background.",expert,"On the filigree pendant, chain bracelet, earrings and rings the interior open gaps read as background (transparent/white), not filled solid; any blocked/filled gap fails.",K3 Compositional craft,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,7,"The silver reads bright, cool-neutral and crisp — colour cast removed and exposure lifted.",expert,"Across all six the metal is neutral silver (no warm/yellow or cool/blue cast, correcting sku01 warm + sku02 cool) and bright/crisp rather than dull/muddy; a residual cast or flat muddy result fails.",K4 Creative quality,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,8,Oxidised cuff (sku05): antique dark recess detail is held (blacks not crushed).,expert,sku05's oxidised recesses keep visible detail while the raised metal reads bright; crushed solid-black recesses fail.,K3 Compositional craft,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,9,Each piece is straightened and level.,expert,Every piece sits straight/level versus the tilted source frames; a noticeably tilted piece fails.,K3 Compositional craft,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,10,"All six read as one matched catalog set (consistent brightness, neutrality, finish).",expert,"The six look like one consistent catalog, not six different edits; a visibly odd-one-out SKU fails. (Core requirement.)",K4 Creative quality,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,11,"Each output is the real supplied piece, isolated — not regenerated, substituted, or reshaped.",expert,"Each deliverable is clearly the cleaned/isolated version of its supplied SKU (same piece, same form); a regenerated, reshaped, or substituted piece fails.",K2 Asset utilization & fidelity,mandatory
AO-115,Rukmini Silverworks 925 jewelry catalog: batch isolate-on-pure-white with metal grade + consistent 3000px square e-com crops (transparent PNG + white-BG JPEG per SKU),Photo & Image,T4_expert,45,2,12,No generative or out-of-scope editing was used.,expert,"No generative fill/expand, no AI object add/remove-with-reconstruction, no upscaling beyond source, no compositing; the white background is a solid #FFFFFF fill (not generative). Any generative artifact fails.",K7 Honesty & calibration,dealbreaker
