id,domain,deliverable_type,workflow_tag,operation,operation_family,output_modality,horizon_tier,est_calls,planning_complexity,brand_strictness,tool_diversity,visual_density,creative_freedom,feasibility,execution_mode,tool_coverage_count,brand_persona,mixed_modality,capability_footprint
AO-00,automotive,product-shot,Edit,O2,Photo & Image,image,H4,17,5,4,5,2,2,partial,[C],17,generic,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-01,beauty-cosmetics,product-shot,Create+Edit,O2,Photo & Image,image,H4,18,5,4,5,3,2,partial,[C]+[T],18,DERMAVERA,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
AO-02,ecommerce-retail,product-shot,Edit+Create,O2,Photo & Image,image,H4,21,5,4,5,2,2,full,[C],17,generic,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-03,ecommerce-retail,product-shot,Edit,O2,Photo & Image,image,H4,17,4,4,5,2,2,full,[C],15,Aurelia Botanicals,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-04,jewelry,product-shot,Edit,O2,Photo & Image,image,H4,16,4,2,5,2,1,full,[C],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-05,ecommerce-retail,social-ad,Edit,O2,Photo & Image,image,H4,23,4,3,4,2,2,partial,[C]+[A]+[L],13,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Brand Alignment
AO-06,ecommerce-retail,product-shot,Edit,O2,Photo & Image,image,H4,16,4,2,5,2,2,full,[C],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process
AO-07,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,24,5,2,4,2,2,full,[C],15,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Creative Quality; Honesty
AO-08,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,21,5,3,5,2,2,full,[C],18,Gather & Co.,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Process
AO-10,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,17,5,3,5,4,2,partial,[C]+[T],17,Argent & Faith,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Process; Creative Quality; Honesty
AO-11,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,22,5,2,5,3,2,partial,[C]+[T],20,Shady (custom pendant maker),False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-12,food-bev,product-shot,Edit,O1,Photo & Image,image,H4,21,4,2,5,2,2,partial,[C]+[L],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process
AO-13,food-bev,photo-asset-pack,Edit,O1,Photo & Image,image,H4,20,4,3,5,2,3,full,[C]+[A],17,El Vecino Cocina,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Creative Quality; Process; Honesty
AO-14,food-bev,menu,Edit,O1,Photo & Image,document,H4,25,5,3,5,4,2,template,[C]+[T],16,Brickyard,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
AO-15,food-bev,food-photo-prep,Edit,O1,Photo & Image,image,H4,21,5,4,5,2,2,full,[C],20,Umaya,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-16,food-bev,menu,Create+Edit,O1,Photo & Image,image,H4,21,5,2,4,2,2,partial,[C]+[A],15,generic,True,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process
AO-17,food-bev,hero-image-pack,Edit,O1,Photo & Image,image,H4,22,4,3,5,2,3,full,[C],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Brand Alignment; Process
AO-18,food-bev,food-photo-suite,Edit,O1,Photo & Image,image,H4,26,4,3,4,2,2,partial,[C]+[L],15,Casa Polvo,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process
AO-19,food-bev,window-decal,Create+Edit,O1,Photo & Image,document,H4,19,5,4,4,4,2,partial,[C]+[T]+[L],14,Tony's Brick Oven Pizza,False,Instruction Following; Asset Utilization; Technical Quality; Process; Brand Alignment; Creative Quality
AO-20,automotive,responsive-photo-set,Edit,O4,Photo & Image,image,H4,20,4,2,4,2,3,full,[C],14,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-21,professional-services,headshot,Edit,O4,Photo & Image,image,H4,20,5,2,5,2,2,full,[C],17,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process
AO-22,generic,logo,Edit,O4,Photo & Image,vector,H4,16,5,4,5,2,2,full,[C],16,generic,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-23,real-estate,youtube-thumbnail-teaser-endcard-package,Edit,O4,Photo & Image,image,H4,18,5,3,5,3,2,partial,[C]+[A],17,Sterling Row,True,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
AO-24,real-estate,open-house-flyer,Edit,O4,Photo & Image,image,H4,24,5,4,4,4,2,partial,[C]+[T],14,Harlan Home Lending,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-25,real-estate,real-estate-photo,Edit,O4,Photo & Image,image,H4,19,4,2,4,2,2,partial,[C],13,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-26,real-estate,real-estate-photo,Edit,O4,Photo & Image,image,H4,21,4,2,4,2,2,full,[C],13,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-27,real-estate,real-estate-photo,Edit,O4,Photo & Image,image,H4,19,4,2,4,3,2,full,[C],14,Streetline,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-29,generic,poster,Edit,O1,Photo & Image,image,H4,23,5,2,5,4,3,partial,[C],19,Continental Cup,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-30,food-bev,color-graded-keyframes,Edit,O1,Photo & Image,image,H4,19,5,2,5,2,3,partial,[C]+[A],19,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process
AO-31,music-entertainment,brand-kit,Edit,O1,Photo & Image,image,H4,18,4,2,5,3,3,partial,[C]+[A],16,Princerrr,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-32,real-estate,real-estate-photo,Edit,O1,Photo & Image,image,H4,25,4,1,4,2,2,full,[C],13,generic,False,Instruction Following; Technical Quality; Asset Utilization; Process; Honesty
AO-34,generic,sizzle-reel,Create+Edit,O1,Photo & Image,video,H4,25,5,4,5,3,2,partial,[C]+[A],21,NORTHLOOP,True,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-35,generic,restored-photo,Edit,O1,Photo & Image,image,H4,18,4,1,4,2,2,full,[C],14,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Creative Quality
AO-36,generic,restored-photo,Edit,O1,Photo & Image,image,H4,16,5,1,4,2,2,partial,[C]+[L],14,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-37,generic,restored-photo,Edit,O1,Photo & Image,image,H4,20,4,1,4,2,2,full,[C],14,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-38,automotive,vector-artwork,Edit,O2,Photo & Image,vector,H4,17,4,4,4,3,2,partial,[C]+[L],13,IRONLINE FORGE,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-39,apparel,product-shot,Edit,O2,Photo & Image,image,H4,21,4,2,5,3,2,full,[C],16,NORTHGROVE,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-40,ecommerce-retail,product-cutout,Edit,O2,Photo & Image,image,H4,19,4,1,5,2,3,partial,[C]+[L],17,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process
AO-41,professional-services,brand-kit,Edit,O2,Photo & Image,image,H4,16,4,4,4,2,2,full,[C],13,Maple Ridge Home Services,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-42,apparel,brand-kit,Edit,O2,Photo & Image,image,H3,14,4,4,4,3,2,partial,[C]+[A]+[L],11,OVERDRIVE,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
AO-44,professional-services,social-ad,Edit,O2,Photo & Image,image,H4,19,5,4,4,2,2,partial,[C],13,Nimbusly,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-53,apparel,social-launch-kit,Create+Edit,O6,Photo & Image,image,H3,14,4,4,4,3,2,partial,[C]+[T],12,VOLT,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process
AO-70,automotive,product-shot,Edit,O8,Photo & Image,image,H4,18,4,2,5,2,3,full,[C],16,Velvet Wins,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process
AO-71,professional-services,stock-sourced-hero,Edit,O8,Photo & Image,image,H4,21,4,4,4,3,2,full,[C],15,generic,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-72,ecommerce-retail,store-graphics-package,Create+Edit,O8,Photo & Image,image,H4,24,5,4,5,4,2,partial,[C]+[L],19,generic,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process
AO-73,generic,social-ad,Edit,O8,Photo & Image,image,H4,17,4,4,5,2,2,full,[C],16,GreenBlade Lawn Care,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process
AO-45,automotive,brand-kit,Edit,O7,Vector & Print,vector,H4,18,5,4,4,3,2,full,[C],15,HaulAway,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-46,apparel,vector-glyph-set,Edit,O7,Vector & Print,vector,H4,24,4,2,4,3,2,partial,[C]+[T],14,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-47,generic,vector-graphic,Edit,O7,Vector & Print,vector,H4,29,4,1,5,2,2,full,[C],17,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Creative Quality
AO-48,professional-services,vector-logo-kit,Edit,O7,Vector & Print,vector,H4,19,5,3,5,2,2,full,[C],17,Northwind Analytics,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-49,apparel,screen-print-seps,Edit,O7,Vector & Print,vector,H4,20,4,5,4,2,2,partial,[C]+[L],14,Evergreen,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-51,generic,screen-print-seps,Edit,O7,Vector & Print,vector,H4,23,5,4,5,4,2,partial,[C],15,Vanguard,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-52,generic,screen-print-seps,Edit,O7,Vector & Print,image,H4,17,5,4,5,4,2,partial,[C],17,John Paul the Great Academy,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Process; Creative Quality
AO-62,events-weddings,catalog,Create+Edit,O5,Layout & Data,document,H4,18,5,3,5,4,2,partial,[C]+[T]+[L],16,PartyWorks,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty; Brand Alignment
AO-63,apparel,screen-print-seps,Create+Edit,O5,Layout & Data,image,H4,18,5,4,4,3,2,full,[C],15,Maple Cricket League,True,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Process; Creative Quality; Honesty
AO-64,beauty-cosmetics,packaging-print-prep,Edit,O5,Layout & Data,document,H4,17,5,4,5,4,2,partial,[C]+[T],17,Aurelia Botanics,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-67,generic,large-format-banner,Edit,O5,Layout & Data,document,H4,21,5,4,5,4,2,full,[C],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Process; Honesty
AO-68,professional-services,banner,Edit,O5,Layout & Data,document,H4,18,4,5,5,4,2,full,[C],17,Dynamic Solution Classes,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-69,ecommerce-retail,packaging-label,Create+Edit,O5,Layout & Data,document,H4,22,5,4,4,4,2,partial,[C]+[T],15,TitanSeal,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-54,automotive,brand-asset-kit,Create+Edit,O3,Motion & Audio,image,H4,17,4,4,5,3,2,partial,[C]+[A],17,RoadWise,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
AO-55,food-bev,multichannel-ad-package,Edit,O3,Motion & Audio,video,H4,25,5,2,5,3,2,partial,[C]+[A],17,Fuel'd Kitchen,False,Instruction Following; Asset Utilization; Technical Quality; Process; Creative Quality; Honesty
AO-56,music-entertainment,youtube-edit-package,Create+Edit,O3,Motion & Audio,video,H4,18,5,1,5,3,3,partial,[C]+[A],17,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-57,music-entertainment,sizzle-reel,Create+Edit,O3,Motion & Audio,video,H4,30,4,3,5,3,3,partial,[C]+[A],18,Nocturne,True,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Brand Alignment; Process; Honesty
AO-58,generic,coaching-reel,Create+Edit,O3,Motion & Audio,video,H3,15,5,4,4,2,2,partial,[C]+[A],14,IRONLINE COACHING,True,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-60,generic,sizzle-reel,Create+Edit,O3,Motion & Audio,video,H4,18,5,2,5,3,3,partial,[C]+[A],17,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-61,music-entertainment,sizzle-reel,Edit,O3,Motion & Audio,video,H4,20,5,3,5,2,3,partial,[C]+[A],19,The Long Way Round,True,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
