task_id,task,full_title,description,family,difficulty,expected_tool_calls,distinct_tools,num_inputs,num_outputs,output_types,output_breakdown,price
AO-01,Premium Clinical Skincare Brand,"Premium Clinical Skincare Brand — Product-Shot Finishing, Logo Vectorization, Per-SKU Label Merge & Print-Ready Packaging Export","Take our raw skincare hero shot, flat logo mark, texture plate and SKU copy sheet and produce a clinically clean white-background product image set, an editable vector logo, a recommended type system, a packaging-safe wide landscape reframe of the hero (cropped from the pure-white-sweep master), a clinical monochrome variant, per-SKU print labels merged from our label template, and a print-ready packaging PDF — all assembled on one presentation board.",Photo & Image,T3_complex,18,17,6,9,5,"image×4, PDF×2, vector(SVG)×1, link/board×1, data/file×1",~$60 est.
AO-02,Performance-ready Meta ad product creatives,"Performance-ready Meta ad product creatives: white-bg clean-up, brand color grade, multi-ratio reframe set, and vectorized logo for paid-social testing","Turn the client's raw product shot and logo into a performance-ready Meta ad creative kit: a retouched pure-white-bg hero, a brand-graded variant, three platform-ratio frames (1:1 / 4:5 / 9:16) built by honestly cropping/reframing the graded hero to each ratio, a vectorized logo, and a Firefly review board.",Photo & Image,T2_moderate,20,16,3,8,3,"image×5, data/file×2, vector(SVG)×1",~$60 est.
AO-03,E-commerce white-background product retouch suite…,E-commerce white-background product retouch suite + vectorized brand mark,"Turn a client's raw, messy-background product photo into a pure-white-background marketplace catalog image and convert their rough hand-drawn logo sketch into a clean, brand-colored, scalable vector logo — then package everything for delivery.",Photo & Image,T1_simple,17,15,2,4,2,"image×2, vector(SVG)×2",~$55 est.
AO-04,Silver Jewelry iPhone Shots to White-Background…,Silver Jewelry iPhone Shots to White-Background E-commerce Set (JPEG + transparent PNG),"Turn a handheld iPhone shot of a silver jewellery piece into a clean, colour-accurate, uniform-white e-commerce set: a 3000x3000 sRGB JPEG plus a matching transparent PNG, ready to slot straight into the online store.",Photo & Image,T1_simple,16,16,1,4,2,"image×2, data/file×2",~$50 est.
AO-06,White-Background Catalog Cleanup for a…,White-Background Catalog Cleanup for a Firearms/Optics/Outdoor Shopify Store,"Take a batch of inconsistent distributor-supplied product photos for a firearms/optics/outdoor Shopify store and turn them into clean, straightened, color-corrected, pure-white-background, square marketplace hero images (plus transparent-PNG tile variants and a vectorized listing badge), all organized into a review board and a tidy asset folder.",Photo & Image,T2_moderate,16,15,2,8,3,"image×4, data/file×3, vector(SVG)×1",~$60 est.
AO-07,Men's pendant line,Men's pendant line: vectorize the 2D spec sketch + retouch and catalog-prep the sample studio shots,"From the industrial designer's raster pendant sketch and two mixed-lighting workbench photos of a stainless-steel sample pendant and chain, produce a clean factory-ready vector spec asset plus retouched, isolated, color-accurate catalog hero shots (one expanded to a catalog canvas, one duotone print-screen variant) and gather everything on a Firefly board for the design team.",Photo & Image,T2_moderate,24,15,3,5,3,"image×3, vector(SVG)×1, link/board×1",~$65 est.
AO-08,Signature Bracelet Launch,"Signature Bracelet Launch: Studio Retouch, White-Background E-Comm Set, Graded Hero, Expanded Social Banner & Vectorized Mark","Turn the brand's raw studio prototype shots, wordmark, and lifestyle frame into a launch image kit: a clean white-background e-commerce set, a color-graded close-up hero, an expanded social banner, and a vectorized wordmark — then assemble everything on a Firefly board for sign-off.",Photo & Image,T2_moderate,21,17,3,6,3,"image×4, vector(SVG)×1, data/file×1",~$60 est.
AO-10,Modern Silver Rosary Necklace,Modern Silver Rosary Necklace — Commercial Product Package (Hero Retouch + Vector Spec + Screen-Print Tech Graphic + Data-Merge Spec Sheet),"Turn the client's raw studio shot of a modern silver rosary necklace into a full commercial product package: a retouched hero image on a clean sweep, a vector line-art spec, a screen-print-style halftone tech graphic, and a print-ready data-merged spec sheet — all assembled into a review board for revision rounds.",Photo & Image,T2_moderate,17,16,5,7,4,"image×4, vector(SVG)×1, PDF×1, data/file×1",~$55 est.
AO-11,Sterling-Silver Ruby Pendant,"Sterling-Silver Ruby Pendant — Retouched Hero Shots, Color-Matched Set, Vectorized Calligraphy Mark, Moodboard & Spec-Sheet Export","Turn the client's raw photos of a finished Sterling-Silver 925 ruby pendant into a retouched, color-consistent hero product-photo set with a clean white-background cut-out, an reframe-cropped banner, a vectorized Arabic-calligraphy hallmark, a Firefly moodboard, and an exported lookbook/spec sheet.",Photo & Image,T3_complex,22,19,5,8,4,"image×5, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-12,Bright-and-Airy Lightroom Grade for a 38-Shot Food…,"Bright-and-Airy Lightroom Grade for a 38-Shot Food Photography Set (Flat-Lay, 45°, Side)","Take a client's 38-frame food shoot (flat-lay / 45° / side of one dish) that is close to the mark and grade it to a cohesive bright-and-airy look — white balance, exposure, highlight/shadow, gentle color — then deliver straightened, correctly-sized final files.",Photo & Image,T2_moderate,20,15,3,6,2,"image×5, data/file×1",~$60 est.
AO-13,Taco Tuesday & Lunch-Special Meta Ad Photo-Asset…,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant","Prep and deliver the campaign-ready photo + brand asset pack (retouched, warm/bold-graded hero food shots, color-splash and subject-pop scroll-stop variants, cut-out dishes, three Meta ad ratios via reframe-crop, a licensed backdrop texture, and a vectorized logo) for a West Palm Beach Mexican restaurant's Taco Tuesday & Lunch-Special Meta ad mockups.",Photo & Image,T3_complex,20,17,4,10,3,"image×8, vector(SVG)×1, data/file×1",~$60 est.
AO-14,Brickyard retro one-page menu,Brickyard retro one-page menu: food-photo grade + logo vectorize + InDesign data-merge to print PDF/JPEG,"Grade four raw burger photos, vectorize the Brickyard wordmark, source a chalkboard texture, and run the client's authored InDesign menu template through a data-merge to produce a print-ready PDF and high-res JPEG.",Photo & Image,T3_complex,25,16,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",~$70 est.
AO-15,Umaya Tri-Fold Menu Refresh,"Umaya Tri-Fold Menu Refresh — Food Photography Prep, Brand-Cohesive Color Grade, Logo Vectorization & Source Export","Prep, color-grade, cut out, crop, and print-export the new dish photography, the vectorized logo, the textured background, and the existing Illustrator menu source for Umaya's tri-fold menu refresh, all matched to the dark/red Japanese brand look and ready for the designer to place.",Photo & Image,T3_complex,21,20,5,9,3,"image×7, vector(SVG)×1, data/file×1",~$60 est.
AO-17,Dark-Mode Restaurant Website Hero Food Photography…,Dark-Mode Restaurant Website Hero Food Photography Pack,Retouch a restaurant's raw plated-dish photos into a cohesive dark-mode hero-image pack (hero + menu tiles + mobile crop) and assemble a Firefly moodboard for the agency's web designer.,Photo & Image,T2_moderate,22,15,4,6,3,"image×4, vector(SVG)×1, data/file×1",~$65 est.
AO-18,Premium Dark-Mode Restaurant Food-Photography Asset…,"Premium Dark-Mode Restaurant Food-Photography Asset Suite (Hero, Menu Tiles, Logo Vector)","From the client's raw food photos and logo, produce a dark-mode-ready food-photography asset suite — a color-graded wide hero banner, clean-backdrop menu tiles, a mobile crop, and a vector logo — for a premium restaurant website.",Photo & Image,T3_complex,26,14,3,6,3,"image×4, vector(SVG)×1, data/file×1",~$70 est.
AO-20,Premium corporate-website photo retouch,"Premium corporate-website photo retouch: grade, declutter, and export a consistent responsive image set","Take two client-shot raw corporate images (a plant-floor engineer-by-equipment hero and an executive portrait), professionally retouch and color-grade them to one consistent premium look, declutter the busy backgrounds the allowed way, then export a web-optimized responsive set (desktop/tablet/mobile) plus a Firefly board for sign-off.",Photo & Image,T2_moderate,20,14,2,7,3,"image×5, link/board×1, ZIP×1",~$65 est.
AO-21,Creative Business Headshot,"Creative Business Headshot — Studio Retouch, Color Grade & Brand-Profile Asset Pipeline","Take the client's raw studio headshot frame and brand monogram and produce a retouched, color-graded, creatively recomposed professional-profile headshot set (color + monochrome + 16:9 dynamic + LinkedIn 1:1 + banner crops) plus a clean vector logomark, all delivered in one folder.",Photo & Image,T2_moderate,20,16,2,6,3,"image×4, vector(SVG)×1, data/file×1",~$60 est.
AO-22,Production-finish a modern vibrant abstract logo,"Production-finish a modern vibrant abstract logo: clean, color-tune, vectorize, and ship full-colour + single-colour + print variants with a style note","Take my approved raster abstract logo concept and produce the full hand-off package — cleaned and brightened full-colour vector master (AI/SVG), a single-colour version, a single-colour print/screen variant, a wide social-header lockup, high-res PNG/JPEG exports, and a style note with hex/RGB values and recommended typography.",Vector & Print,T1_simple,15,15,2,8,3,"image×6, vector(SVG)×1, data/file×1",~$50 est.
AO-23,"Teaser, Thumbnail and End-Card Content Package for…","Teaser, Thumbnail and End-Card Content Package for a Luxury Manhattan Real-Estate YouTube Channel","Produce the full per-video content package for one luxury Manhattan real-estate YouTube video — a retouched high-contrast thumbnail base plate, a cinematic cold-open teaser cut (YouTube + LinkedIn sizes), and a branded end card — all from the broker's supplied portrait, penthouse still, raw walkthrough footage, end-card backplate, and wordmark logo.",Photo & Image,T1_simple,16,15,5,6,3,"video×3, image×2, vector(SVG)×1",~$55 est.
AO-24,Open House Finance Flyer,"Open House Finance Flyer: property-photo retouch, brass/gold brand look, logo vectorize, and InDesign price-scenario data-merge for a Solano County mortgage lender","Prep and grade the hero property photo and lender headshot into a black + brass/gold luxury look, vectorize the lender wordmark, then export the authored InDesign Open House Finance flyer (front/back) and data-merge the monthly-payment / down-payment / appreciation scenarios from a CSV into print-ready pages.",Photo & Image,T3_complex,24,14,5,8,4,"image×4, PDF×2, vector(SVG)×1, data/file×1",~$65 est.
AO-25,"Premium, consistent HDR grade for a Caribbean…","Premium, consistent HDR grade for a Caribbean vacation-rental villa listing set (interior + pool + sea/sky), delivered as web-ready JPEGs plus a client review board","Take a property's three raw Nodalview-HDR exports (luxury interior, pool deck, sea/sky terrace) and finish them into a consistent, natural, premium listing set — level horizons, balance exposure/white-balance, gently enhance pool water, sea color, sky and vegetation, brighten interiors and balance the bright window view, then deliver matched 2048px web JPEGs plus a 16:9 hero and a client review board.",Photo & Image,T2_moderate,23,13,3,5,2,"image×4, link/board×1",~$65 est.
AO-26,High-Volume Real Estate Listing Retouch,"High-Volume Real Estate Listing Retouch — HDR Tone-Map, Window Pull, Lawn Boost & Consistent-Style Delivery","Edit one real-estate listing's frames into MLS-ready, consistently styled images: tone-map the wide-DR exterior (window pull), enhance the sky, pop the lawn, straighten and crop, then lock that look as a preset and push it across the interior frames for a uniform property set.",Photo & Image,T1_simple,21,13,3,4,2,"image×3, data/file×1",~$60 est.
AO-27,Streetline-style real-estate interior edit,"Streetline-style real-estate interior edit: straighten, HDR-look tone, white balance, window pull, outlet clean-up","Edit a Dutch real-estate interior to a bright, clean, realistic Streetline-style finish — straighten verticals, recover an HDR-look exposure, fix white balance, pull the blown-out window view back, neutralize one distracting wall outlet, and deliver a high-res JPG.",Photo & Image,T1_simple,19,15,2,2,1,image×2,~$55 est.
AO-29,Continental 2026 Cup Stars Poster,"Continental 2026 Cup Stars Poster — Cinematic Grade, Flag-Colour Accents & Print/Web Master Delivery","Take the client's supplied composited Continental-stars hero plate (three fictional star strikers — Solano, Ferraz and Rocher — plus the trophy already arranged) plus a flag-pattern swatch, and finish it into a cinematic, high-contrast, signature-colour-accented A2 300-dpi print master plus social-media versions using only Adobe connector tools.",Photo & Image,T3_complex,23,18,3,6,4,"image×3, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-30,Daily Promo Spot,"Daily Promo Spot — Color-Graded Key Frames, Thumbnail Pack & Sizzle Reel","Take today's exported promo key frames, apply one consistent lively color grade across the frames, build a YouTube thumbnail from the hero shot, generate a sizzle cut and a content summary, and drop the finished, organized package back in the daily folder — same day.",Photo & Image,T2_moderate,19,15,6,5,3,"image×2, data/file×2, video×1",~$65 est.
AO-31,Daily-vlog brand kit,"Daily-vlog brand kit: color-graded thumbnails, end-screen + lower-third plates, story-format still, and reframed clip","Build the recurring per-episode still brand kit for a daily-life vlog — color-grade the supplied frame-grab and shot stills to one consistent ""personal, upbeat"" look, produce a subject-pop YouTube thumbnail plus a 9:16 story-format still, vectorize the channel wordmark into clean lower-third and end-screen plates, gather it all on a Firefly board, and ship a same-length 9:16 social reframe of one supplied clip.",Photo & Image,T2_moderate,17,14,4,7,4,"image×4, vector(SVG)×1, video×1, link/board×1",~$55 est.
AO-32,Modern House Listing Photography,Modern House Listing Photography — Post-Production Color Grade & Listing Export,"Edit the client's three supplied room frames (living room, kitchen, bedroom) into clean, modern, naturally-lit real-estate listing photos with straight verticals and corrected color, then export each in web-optimized JPEG (<2 MB) and full-resolution TIFF for Airbnb/Zillow.",Photo & Image,T3_complex,28,13,3,7,2,"image×6, data/file×1",~$75 est.
AO-34,Informative explainer video,"Informative explainer video: brand-graded sizzle cut, vertical reframe, and on-brand lower-third / call-out graphic plates","Turn my raw informative-explainer footage, brand logo, and color-reference still into a polished short cut: build a brand-locked color look plus a graded end-card, and produce on-brand lower-third, call-out, and vectorized-logo graphic plates — then deliver a 1080p sizzle and a vertical reframe, all assets organised on a board for the Premiere project.",Photo & Image,T4_expert,24,20,4,8,4,"image×4, video×2, vector(SVG)×1, data/file×1",~$70 est.
AO-35,Restore a 1910 magician-troupe postcard,"Restore a 1910 magician-troupe postcard: clarify the dark front photo and make the handwritten back legible, delivered as two book/social-ready files","Digitize and restore one 1910 magician-troupe postcard — clarify and lighten the dark sepia front photo and sharpen the contrast of the handwritten back so the description is legible — and deliver each side as its own clean, deskewed, print-and-social-ready file.",Photo & Image,T1_simple,18,14,2,3,2,"image×2, data/file×1",~$55 est.
AO-37,"Restore Three Faded, Scratched Family Photo Scans…","Restore Three Faded, Scratched Family Photo Scans for A4 Wall Prints","Restore three damaged old photo scans — correct color fading, conceal scratches/tears over plain areas, and maximize clarity — then output each as a print-ready A4 (2480x3508 px, 300 DPI) file.",Photo & Image,T1_simple,20,14,3,4,2,"image×3, link/board×1",~$65 est.
AO-38,Logo + Four Challenge-Coin Marks,Logo + Four Challenge-Coin Marks: Concept Rasters to Coin-Ready Vector Artwork with Black/White/Gold/Silver Variants,"Turn the client's five supplied concept rasters (one logo + four challenge-coin references) into clean, coin-ready vector marks, each delivered as transparent-PNG and SVG in black, white, gold, and silver.",Photo & Image,T2_moderate,19,14,5,8,4,"image×4, vector(SVG)×2, link/board×1, data/file×1",~$65 est.
AO-39,"Apparel Shirt Isolation, Background Cleanup and…","Apparel Shirt Isolation, Background Cleanup and Marketplace-Ready E-commerce Set","Turn a messy worn-shirt hero photo plus a flat-lay reference shirt into a clean, colour-true, marketplace-ready apparel product set (cleaned studio backdrop, isolated transparent packshot, vectorized logo, square + catalog crops).",Photo & Image,T2_moderate,21,15,3,5,3,"image×3, vector(SVG)×1, ZIP×1",~$60 est.
AO-41,Batch-clean and productize the Maple Ridge Home…,Batch-clean and productize the Maple Ridge Home Services logo concepts into a scalable transparent/one-color/badge/vector brand-asset set,"Take the client's three raster logo-concept renders and turn them into a clean, scalable brand-asset set: background-removed transparent masters, a color-corrected primary, a one-color (single-ink) version, a circular badge crop, and a vectorized SVG — all assembled on a Firefly board for sign-off.",Photo & Image,T1_simple,16,13,3,6,3,"image×4, vector(SVG)×1, data/file×1",~$50 est.
AO-42,OVERDRIVE merch-brand logo finishing,"OVERDRIVE merch-brand logo finishing: variant set, transparent PNGs, SVG vector source, palette + font kit, usage board","Take the client's supplied OVERDRIVE raster logo lockup and productionize it into the full merch brand-kit deliverable set — transparent primary/stacked/icon/avatar PNGs, social-PFP crop, black/white/mono variants, a clean SVG vector source, an extracted palette reference, font recommendations, and a usage moodboard — chaining every step in Adobe.",Photo & Image,T2_moderate,19,12,2,11,5,"image×7, vector(SVG)×1, link/board×1, ZIP×1, data/file×1",~$65 est.
AO-45,Logo Vectorization + Brand Identity Kit,Logo Vectorization + Brand Identity Kit — HaulAway (junk removal / vehicle-wrap-ready),"Vectorize and clean up HaulAway's existing raster logo to print-ready quality, then build the full set of brand variations (master vector, horizontal, stacked, icon-only HA mark, one-color knockouts, a lime-on-black trailer-wrap hero) plus a font + color-usage reference and a presentation board — all wrap/shirt/print ready.",Vector & Print,T2_moderate,19,16,1,9,3,"image×5, vector(SVG)×2, data/file×2",~$65 est.
AO-46,"Recreate a Sports Jersey Font (A–Z, 0–9) as Clean…","Recreate a Sports Jersey Font (A–Z, 0–9) as Clean Vector SVG / EPS / AI from a Reference Image","Turn two photographed jersey-font reference sheets (letters A–Z and numbers 0–9) into clean, print-ready vector artwork and deliver SVG + EPS + AI for both sets.",Vector & Print,T2_moderate,24,14,5,6,2,"vector(SVG)×5, ZIP×1",~$65 est.
AO-47,Redraw Swimming-Pool Photos into Clean Web-Ready…,Redraw Swimming-Pool Photos into Clean Web-Ready Vector Graphics,"Turn three supplied swimming-pool photos into clean, detailed, flat-color vector graphics (SVG + flat-white-background web PNG) on a uniform canvas, packaged and shown on a moodboard for the client's website.",Vector & Print,T4_expert,34,16,3,5,3,"vector(SVG)×3, image×1, data/file×1",~$85 est.
AO-48,Convert an AI-Generated Logo into a Clean…,"Convert an AI-Generated Logo into a Clean, Multi-Platform Vector Kit","Take the client's AI-generated raster logo, clean and de-skew it, isolate the mark on transparency, trace it into a crisp scalable SVG, and derive a full multi-platform vector + raster export kit that stays high-quality at every size and format.",Vector & Print,T2_moderate,20,17,1,9,3,"image×5, vector(SVG)×2, data/file×2",~$65 est.
AO-49,Evergreen Cannabis Apparel Capsule,Evergreen Cannabis Apparel Capsule — Screen-Print Separation & Vector Production Package,"Turn the client's hand-painted hero graphic and brand logo into a production-ready, screen-print-separable vector + halftone package locked to the Evergreen purple/black/pink palette, plus an exported tech-pack mockup, bundled for the decorator.",Vector & Print,T2_moderate,21,15,3,5,4,"vector(SVG)×2, image×1, PDF×1, ZIP×1",~$75 est.
AO-51,Vanguard Athletic Logo,"Vanguard Athletic Logo — Spot-Color Separation, Vectorization & Multi-Format Screen-Print Package","Refine my ChatGPT-made ""Vanguard"" athletic badge into clean, separated spot-color screen-print artwork (olive drab / khaki / black / dark grey + digital camo), vectorize it, and deliver it in multiple file formats with spot-color info.",Vector & Print,T3_complex,25,15,3,7,4,"vector(SVG)×3, image×2, PDF×1, data/file×1",~$70 est.
AO-52,20th-Anniversary folk-art poster screen-print…,"20th-Anniversary folk-art poster screen-print separation pack — approved master vectorized, white underbase + 4 spot-colour halftone plates with dot-gain choke, a grain-textured proof, the authored registration sheet rendered out of Illustrator, and a campus-reference Firefly board","From the approved folk-art 20th-Anniversary master, produce a print-ready 5-screen separation pack (white underbase + four spot-colour halftone plates with a dot-gain choke), a vectorized hard-edge lettering/line plate, a grain-textured client proof, the registration/separation sheet rendered out of the supplied Illustrator template (PDF, PNG and SVG as three separate render passes), and a Firefly board of the campus reference photos for the screen printer.",Vector & Print,T4_expert,22,17,6,11,4,"image×7, vector(SVG)×2, PDF×1, link/board×1",~$65 est.
AO-54,LaneLoom,"LaneLoom — Branded Top-Down Traffic Shorts: Reusable Asset Kit, Color-Graded Frames, Vertical Cover + Reel Prep","Build the LaneLoom branded source-asset kit for the top-down traffic shorts: vectorize reusable road/vehicle/arrow icons to clean SVG, apply one consistent color grade across the reference frames, reframe the graded junction frame to a 9:16 vertical cover/end-card and produce a stock-backed road texture, then reframe the rough preview clip to vertical — all chained so the deliverable kit emerges from the supplied plates.",Video & Motion,T2_moderate,16,16,5,6,4,"image×3, vector(SVG)×1, video×1, link/board×1",~$60 est.
AO-55,Multi-Channel Meal-Prep Ad Package,Multi-Channel Meal-Prep Ad Package: Product-Showcase Video + Social Cutdowns + Retouched Hero Still + Vectorized Merch Logo,"From the client's raw chicken-bowl hero photo, raw 4K product-showcase footage, and flat logo PNG, produce a retouched website-banner hero still, a vertical + square + landscape cutdown set of the product-showcase video plus an AI sizzle cut, a screen-print-ready vector logo, and a moodboard of the package.",Video & Motion,T3_complex,23,15,3,9,4,"video×4, image×2, data/file×2, vector(SVG)×1",~$70 est.
AO-56,Comedy Gameplay YouTube Edit,"Comedy Gameplay YouTube Edit: Sizzle Cut, Reframed Shorts Variant, Meme Cutaway Graphics + Clickbait Thumbnail","Turn raw comedy gameplay footage plus client notes and custom graphics into a punchy 1080p H.264 YouTube cut with a vertical Shorts variant, polished meme/text-callout overlay graphics, and a clickbait thumbnail PNG — all organized into one reusable project package.",Video & Motion,T1_simple,15,14,4,7,4,"image×2, vector(SVG)×2, video×2, data/file×1",~$55 est.
AO-57,Phonk-Energy 9:16 Reel/TikTok Edit Package,"Phonk-Energy 9:16 Reel/TikTok Edit Package — Sizzle Cut, Reframe, Captions, and Scroll-Stopping Thumbnail","Turn one batch of raw vertical clips plus a hero still, brand logo, and a caption script into a post-ready 9:16 phonk-energy short: an AI sizzle cut reframed to 1080x1920, an on-screen caption sheet, and a fully color-graded exported thumbnail with a vector logo lockup.",Video & Motion,T3_complex,27,17,6,3,3,"image×1, video×1, data/file×1",~$80 est.
AO-58,Repeatable Adobe pipeline turning one raw exercise…,"Repeatable Adobe pipeline turning one raw exercise clip into a branded vertical coaching reel (scene summary, watermark, muscle-group callout, vertical cut)","Run our repeatable exercise-reel pipeline on one raw 'Goblet Squat' clip: summarize the clip into a scene/movement breakdown for metadata and naming, build the reusable white-watermark and branded muscle-group arrow overlays, reframe to vertical, cut a 30s reference reel, and file everything under our naming convention.",Video & Motion,T1_simple,14,12,4,6,4,"video×2, data/file×2, image×1, vector(SVG)×1",~$50 est.
AO-60,Packaging-Portfolio Sizzle Reel,"Packaging-Portfolio Sizzle Reel: Grade the Stills, Cut the Hero Video","Take my mixed-lighting packaging photos, color-grade them into one cohesive polished hero set, then assemble a fast-paced 16:9 website sizzle reel plus a square social cut and a moodboard.",Video & Motion,T2_moderate,18,16,7,6,3,"image×3, video×2, data/file×1",~$55 est.
AO-61,Fun YouTube Podcast,Fun YouTube Podcast: reframed 1080p sizzle cut and a branded graphics kit (lower-third + end-screen + vector logo),"Turn the raw podcast footage into a reframed 1080p YouTube master plus a cold-open sizzle and a fun branded graphics kit (vector logo + lower-third + end-screen as PNG-transparent/vector), delivered separately.",Video & Motion,T2_moderate,18,18,3,9,4,"image×3, data/file×3, video×2, vector(SVG)×1",~$60 est.
AO-62,Variable-Data Event Promo Catalog + Price-Tag Merge…,Variable-Data Event Promo Catalog + Price-Tag Merge (Overset-Safe Auto-Fit Template),"Run our variable-data merge into the auto-fit (shrink-to-fit) InDesign catalog template and the Illustrator price-tag template so long product names no longer overset, prepping the product hero art and licensed background first, and export print-ready PDFs.",Layout & Data,T2_moderate,18,16,6,6,4,"PDF×2, data/file×2, image×1, vector(SVG)×1",~$55 est.
AO-63,Maple Cricket League,"Maple Cricket League — a streetwear cricket league: vectorize the logo system, build the sublimation/screen-print kit artwork, and grade the brand photography into a production-ready package","Turn Maple Cricket League's already-designed raster logo sketches and brand photos into a production-ready package: clean vector marks, a halftone sublimation/screen-print kit treatment, cohesive streetwear color-grade, a cut-out product shot, a wide banner reframed from the graded hero, and an exported, packaged deliverable set.",Layout & Data,T2_moderate,18,15,5,7,4,"image×4, vector(SVG)×1, PDF×1, ZIP×1",~$55 est.
AO-64,Premium skincare packaging,"Premium skincare packaging: retouch hero shot, vectorize logo, render authored dieline + data-merge SKU labels, print-ready PDFs","Take Aurelia Botanics' supplied hero serum photo, logo, authored carton dieline (.ai) + label (.indd) and SKU data, and produce retouched/CMYK-graded imagery, a clean vector logo, data-merged print-ready label PDFs for all 3 SKUs, and high-res mockup assets.",Layout & Data,T3_complex,18,17,7,9,5,"image×4, PDF×2, vector(SVG)×1, link/board×1, data/file×1",~$60 est.
AO-67,Tamil Traditional Service-Promotion Large-Format…,Tamil Traditional Service-Promotion Large-Format Banner Set — Print-Prep & Source-File Production (6 sizes),"Take my supplied Tamil banner master files plus hero photography and brand logo, and produce the complete print-ready production package — graded hero image with print bleed, a clean vector logo, a traditional halftone texture motif, and CMYK 150-dpi PDF/JPEG exports of all six large-format banners — with editable source files alongside.",Layout & Data,T4_expert,28,16,5,10,4,"PDF×6, image×2, vector(SVG)×1, data/file×1",~$75 est.
AO-68,Roadside Coaching-Institute Banner,"Roadside Coaching-Institute Banner: brand-graded hero, vector icon set, halftone geometry + print-ready CMYK PDF export","Prepare every visual asset for the DYNAMIC SOLUTION CLASSES 10ft x 5ft roadside banner — brand-graded student hero, vector subject icons, brand-colour halftone geometry — and export the authored InDesign layout to a print-ready CMYK PDF for large-format flex printing.",Layout & Data,T2_moderate,18,16,4,7,4,"image×4, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
